date,total
2026-01-01,6124601.3
2026-01-02,7126743.67
2026-01-03,5557947.33
2026-01-04,4265680.43
2026-01-05,7055577.99
2026-01-06,5241876.09
2026-01-07,5043266.53
2026-01-08,7022467.600000001
2026-01-09,6380673.4
2026-01-10,6988938.83
2026-01-11,4582372.94
2026-01-12,6849992.4
2026-01-13,5658394.46
2026-01-14,7330025.97
2026-01-15,4579451.19
2026-01-16,5742144.78
2026-01-17,5621746.26
2026-01-18,6589876.51
2026-01-19,5391913.76
2026-01-20,5798046.99
2026-01-21,6481721.4
2026-01-22,5086411.89
2026-01-23,6311240.59
2026-01-24,6910324.28
2026-01-25,5609490.16
2026-01-26,5762104.04
2026-01-27,4908261.1
2026-01-28,8797951.61
2026-01-29,6549527.95
2026-01-30,6155191.05
2026-01-31,5705165.09
2026-02-01,5943587.92
2026-02-02,5568565.66
2026-02-03,5183156.66
2026-02-04,5840534.92
2026-02-05,6778956.95
2026-02-06,6598123.15
2026-02-07,6532362.25
2026-02-08,5903461.8
2026-02-09,6077907.54
2026-02-10,5163065.9
2026-02-11,7058179.79
2026-02-12,5912854.73
2026-02-13,6800808.12
2026-02-14,4320952.06
2026-02-15,6671360.4
2026-02-16,5289941.51
2026-02-17,6676088.59
2026-02-18,6561631.72
2026-02-19,7214903.34
2026-02-20,5408652.97
2026-02-21,6960334.53
2026-02-22,5601408.65
2026-02-23,6188248.77
2026-02-24,6291394.4
2026-02-25,6098141.52
2026-02-26,7108667.13
2026-02-27,5170217.7
2026-02-28,5218945.08
2026-03-01,5376987.76
2026-03-02,7716155.5600000005
2026-03-03,5384052.96
2026-03-04,6822717.14
2026-03-05,4797089.55
2026-03-06,5787639.83
2026-03-07,5086991.71
2026-03-08,6989282.84
2026-03-09,5814676.53
2026-03-10,7041650.63
2026-03-11,5284388.55
2026-03-12,6304032.36
2026-03-13,7118547.42
2026-03-14,6106373.28
2026-03-15,6373424.85
2026-03-16,6923358.68
2026-03-17,6858062.79
2026-03-18,4871259.16
2026-03-19,7805475.17
2026-03-20,6594731.79
2026-03-21,6180342.76
2026-03-22,5493032.38
2026-03-23,7038334.72
2026-03-24,6459510.44
2026-03-25,5709255.69
2026-03-26,5808852.31
2026-03-27,5444942.51
2026-03-28,5941123.89
2026-03-29,5677119.87
2026-03-30,4937213.47
2026-03-31,5165747.42
2026-04-01,6155205.23
2026-04-02,6839600.79
2026-04-03,4688718.33
2026-04-04,6171913.99
2026-04-05,6156718.19
2026-04-06,4547381.99
2026-04-07,5676014.34
2026-04-08,5630072.29
2026-04-09,4738510.16
2026-04-10,7042995.58
2026-04-11,5129782.7
2026-04-12,6631562.46
2026-04-13,5532662.55
2026-04-14,6251420.92
2026-04-15,5583603.06
2026-04-16,4702747.88
2026-04-17,5204374.95
2026-04-18,4640024.29
2026-04-19,6911138.33
2026-04-20,4911372.34
2026-04-21,6190877.22
2026-04-22,6145037.94
2026-04-23,6548451.3
2026-04-24,6449917.55
2026-04-25,5642724.7
2026-04-26,5666428.58
2026-04-27,6320126.24
2026-04-28,5880751.02
2026-04-29,6289972.73
2026-04-30,6857935.76
2026-05-01,5523386.08
2026-05-02,6341445.0
2026-05-03,5476538.85
2026-05-04,6792954.3
2026-05-05,6132822.3
2026-05-06,6010232.15
2026-05-07,5850625.5
2026-05-08,5523187.14
2026-05-09,5096381.29
2026-05-10,5854573.69
2026-05-11,7685369.05
2026-05-12,6476913.43
2026-05-13,6364092.1
2026-05-14,5791507.46
2026-05-15,5787614.26
2026-05-16,6610406.01
2026-05-17,5468747.06
2026-05-18,5156308.14
2026-05-19,7326599.77
2026-05-20,6095229.61
2026-05-21,5020184.61
2026-05-22,5704096.54
2026-05-23,6312239.91
2026-05-24,6340547.55
2026-05-25,5794913.99
2026-05-26,6253743.06
2026-05-27,5390250.76
2026-05-28,4855098.32
2026-05-29,5277516.44
2026-05-30,6162341.09
2026-05-31,5774413.04
2026-06-01,6409443.0600000005
2026-06-02,4919930.18
2026-06-03,6273448.24
2026-06-04,5195099.3
2026-06-05,4881159.64
2026-06-06,5372659.86
2026-06-07,5458428.27
2026-06-08,6940983.84
2026-06-09,5744094.32
2026-06-10,4658113.85
2026-06-11,7018088.64
2026-06-12,7690437.02
2026-06-13,5148307.92
2026-06-14,8181966.76
2026-06-15,5883581.4
2026-06-16,6411721.38
2026-06-17,7061368.81
2026-06-18,4701996.89
2026-06-19,5372244.33
2026-06-20,5124727.34
2026-06-21,5695907.88
2026-06-22,6167675.42
2026-06-23,3784325.24
2026-06-24,7898035.68
2026-06-25,4950450.88
2026-06-26,5684989.42
2026-06-27,5572525.96
2026-06-28,6453290.46
2026-06-29,6045028.45
2026-06-30,4859696.53
2026-07-01,4966603.68
2026-07-02,7095932.59
2026-07-03,6131303.38
2026-07-04,5716188.98
2026-07-05,6518385.75
2026-07-06,5653976.81
2026-07-07,7911881.64
2026-07-08,6353507.4
2026-07-09,6505331.79
2026-07-10,5510736.28
2026-07-11,4207957.26
2026-07-12,5542814.3
2026-07-13,5219633.51
2026-07-14,5565493.95
2026-07-15,6260731.47
2026-07-16,6657510.36
2026-07-17,6873675.52
2026-07-18,7404362.82
2026-07-19,5476709.42
2026-07-20,5330988.55
2026-07-21,5775196.98
2026-07-22,6317452.48
2026-07-23,6587506.85
2026-07-24,6693242.31
2026-07-25,6191918.16
2026-07-26,6790870.8
2026-07-27,5590310.72
2026-07-28,5028948.84
2026-07-29,5952606.78
2026-07-30,6631702.09
2026-07-31,4778783.61
2026-08-01,6471336.82
2026-08-02,4801854.83
2026-08-03,4875897.79
2026-08-04,6197018.17
2026-08-05,5965507.78
2026-08-06,7196614.62
2026-08-07,6110879.51
2026-08-08,5490585.79
